id,Date Created,Date Completed,Last Modified,node,slot,ssu,rack,ru_low,ru_high
453,10/19/2018 8:59 AM,10/29/2018 3:04 PM,11/6/2018 2:00 AM,190,69,93,16,26,30
454,10/5/2018 9:06 AM,10/29/2018 2:35 PM,4/12/2019 1:43 PM,163,39,79,14,36,40
455,10/5/2018 9:04 AM,10/29/2018 2:08 PM,4/12/2019 1:27 PM,117,0,56,8,1,5
457,9/21/2018 11:45 AM,8/7/2019 1:44 PM,8/7/2019 1:44 PM,-1,-1,-1,-1,-1,-1
458,9/13/2018 8:56 AM,6/25/2019 3:02 PM,6/25/2019 3:02 PM,-1,-1,-1,-1,-1,-1
459,9/3/2018 2:25 PM,10/29/2018 1:46 PM,3/18/2019 12:42 PM,13,30,4,1,21,25
460,9/3/2018 1:35 PM,10/29/2018 1:28 PM,3/18/2019 12:42 PM,72,75,34,5,11,15
462,8/22/2018 4:12 PM,9/4/2019 10:30 AM,9/4/2019 10:30 AM,25,58,10,2,11,15
463,8/10/2018 1:07 PM,8/10/2018 1:41 PM,8/30/2018 8:33 AM,-1,-1,-1,-1,-1,-1
464,8/6/2018 1:15 PM,9/10/2018 12:04 PM,3/18/2019 12:42 PM,142,21,69,13,26,30
466,7/13/2018 8:47 AM,10/29/2018 12:46 PM,10/29/2018 12:46 PM,105,59,50,7,11,15
467,7/13/2018 8:44 AM,10/29/2018 12:34 PM,10/29/2018 12:34 PM,112,15,54,7,31,35
468,7/12/2018 4:18 PM,9/10/2018 10:48 AM,3/18/2019 12:42 PM,9,60,2,1,11,15
472,7/6/2018 10:16 AM,9/10/2018 10:31 AM,9/10/2018 10:32 AM,55,23,25,4,6,10
477,6/7/2018 11:02 AM,9/10/2018 10:13 AM,3/18/2019 12:42 PM,20,20,8,2,1,5
484,5/26/2018 8:48 AM,9/10/2018 9:11 AM,3/18/2019 12:42 PM,37,26,16,3,1,5
485,5/3/2018 10:30 AM,11/29/2018 10:30 AM,11/29/2018 10:30 AM,195,70,95,16,36,40
486,5/2/2018 3:50 AM,5/16/2018 1:44 PM,3/18/2019 12:42 PM,194,70,95,16,36,40
487,4/1/2018 8:45 AM,5/16/2018 2:18 PM,3/18/2019 12:42 PM,97,2,46,6,31,35
488,3/29/2018 1:55 PM,5/16/2018 10:44 AM,3/18/2019 12:42 PM,202,67,99,17,16,20
